PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Guo, YX; Musso, M; Peng, SJ; Yan, SS				Guo, Yuxia; Musso, Monica; Peng, Shuangjie; Yan, Shusen			Non-degeneracy of multi-bubbling solutions for the prescribed scalar curvature equations and applications	JOURNAL OF FUNCTIONAL ANALYSIS			English	Article						Pohozaev identity; Bubbling analysis; Non-degeneracy of entire solutions; Critical Sobolev exponent	DELTA-U; S-N; PERTURBATION; UNIQUENESS	We consider the following prescribed scalar curvature equations in R-N -Delta u = K(vertical bar y vertical bar)u(2)*(-1), u > 0 in R-N, u is an element of D-1,D-2(R-N), (0.1) where K(r) is a positive function, 2* = 2N/N-2. We first prove a non-degeneracy result for the positive multi-bubbling solutions constructed in [26] by using the local Pohozaev identities. Then we use this non-degeneracy result to glue together bubbles with different concentration rate to obtain new solutions. (C) 2020 Elsevier Inc. All rights reserved.	[Guo, Yuxia] Tsinghua Univ, Dept Math, Beijing 100084, Peoples R China; [Musso, Monica] Univ Bath, Dept Math Sci, Bath BA2 7AY, Avon, England; [Peng, Shuangjie; Yan, Shusen] Cent China Normal Univ, Sch Math & Stat, Wuhan, Peoples R China	Musso, M (reprint author), Univ Bath, Dept Math Sci, Bath BA2 7AY, Avon, England.	yguo@mail.tsinghua.edu.cn; m.musso@bath.ac.uk; sjpeng@mail.ccnu.edu.cn; syan@mail.ccnu.edu.cn			NNSF of ChinaNational Natural Science Foundation of China [11629101, 11571130, 11831009, 11771235]; EPSRCEngineering & Physical Sciences Research Council (EPSRC) [EP/T008458/1]	Y. Guo was supported by NNSF of China (No. 11771235). M. Musso was supported by EPSRC research grant EP/T008458/1. S. Peng was supported by NNSF of China (No. 11571130, No. 11831009). S. Yan was supported by NNSF of China (No. 11629101).		27	0	0	0	0	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0022-1236	1096-0783		J FUNCT ANAL	J. Funct. Anal.	OCT 1	2020	279	6							UNSP 108553	10.1016/j.jfa.2020.108553			29	Mathematics	Mathematics	LW9BL	WOS:000539437000007					2020-06-27	
J	Hou, XJ; Wang, J; Zhou, Q				Hou, Xuanji; Wang, Jing; Zhou, Qi			Absolutely continuous spectrum of multifrequency quasiperiodic Schrodinger operator	JOURNAL OF FUNCTIONAL ANALYSIS			English	Article						Quasi periodic; Reducibility; KAM; Schrodinger operator	HOLDER CONTINUITY; LOCALIZATION; REDUCIBILITY; EXPONENTS; SHIFTS	In this paper, we prove that for any d-frequency analytic quasiperiodic Schrodinger operator, if the frequency is weak Liouvillean, and the potential is small enough, then the corresponding operator has absolutely continuous spectrum. Moreover, in the case d = 2, we even establish the existence of ac spectrum under small potential and some super-Liouvillean frequency, and this result is optimal due to a recent counterexample of Avila and Jitomirskaya [6]. (C) 2020 Elsevier Inc. All rights reserved.	[Hou, Xuanji] Cent China Normal Univ, Sch Math & Stat, Wuhan 430079, Peoples R China; [Wang, Jing] Nanjing Univ Sci & Technol, Dept Math, Sch Sci, Nanjing 210094, Peoples R China; [Zhou, Qi] Nankai Univ, Chern Inst Math, Tianjin 300071, Peoples R China; [Zhou, Qi] Nankai Univ, LPMC, Tianjin 300071, Peoples R China	Zhou, Q (reprint author), Nankai Univ, Chern Inst Math, Tianjin 300071, Peoples R China.; Zhou, Q (reprint author), Nankai Univ, LPMC, Tianjin 300071, Peoples R China.	hxj@mail.ccnu.edu.cn; jingwang018@gmail.com; qizhou628@gmail.com			Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities [30918011336]; NNSF of ChinaNational Natural Science Foundation of China [11371019, 11671395, 11601230, 11971233, 11701285]; Natural Science Foundation of Jiangsu Province, ChinaNatural Science Foundation of Jiangsu Province [BK20160816]; Self-Determined Research Funds of Central China Normal University [CCNU19QN078]; NNSF grant [11671192, 11771077]; Nankai Zhide Foundation	QZ wants to thank Artur Avila for useful discussions. JW was supported by "the Fundamental Research Funds for the Central Universities", No. 30918011336, NNSF of China (Nos. 11601230, 11971233, 11701285), and the Natural Science Foundation of Jiangsu Province, China (No. BK20160816). XH was partially supported by NNSF of China (Grant 11371019, 11671395) and Self-Determined Research Funds of Central China Normal University (CCNU19QN078). QZ was support by NNSF grant (11671192, 11771077) and Nankai Zhide Foundation.		31	0	0	0	0	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0022-1236	1096-0783		J FUNCT ANAL	J. Funct. Anal.	OCT 1	2020	279	6							UNSP 108632	10.1016/j.jfa.2020.108632			33	Mathematics	Mathematics	LW9BL	WOS:000539437000002					2020-06-27	
J	Hu, LY; Zeng, X; Wei, XQ; Wang, HJ; Wu, Y; Gu, WL; Shi, L; Zhu, CZ				Hu, Liuyong; Zeng, Xiong; Wei, Xiaoqian; Wang, Hengjia; Wu, Yu; Gu, Wenling; Shi, Le; Zhu, Chengzhou			Interface engineering for enhancing electrocatalytic oxygen evolution of NiFe LDH/NiTe heterostructures	APPLIED CATALYSIS B-ENVIRONMENTAL			English	Article						Transition metal tellurides; Interface engineering; Noble metal-free catalysts; Layered double hydroxide; Oxygen evolution reaction	LAYERED DOUBLE HYDROXIDE; HIGHLY EFFICIENT; NICKEL; NANOSHEETS; NANOPARTICLES; HYDROGEN	Interface engineering of electrocatalysts is a promising strategy to modulate their corresponding physicochemical properties. Compared with sulfides and selenides, the studies related to the interface engineering of the transition metal tellurides for oxygen evolution reaction (OER) remain scarce, regardless of their higher electrical conductivity and mass transport rate. Herein, a class of NiFe LDH/NiTe composites was successfully synthesized for enhancing the OER performance by partial chemical etching of nickel foam to prepare NiTe nanoarrays, and subsequently depositing NiFe LDH with a hydrothermal process. Based on experimental and calculated results, the NiFe LDH/NiTe composite is observed with a more intensive interface rather than a simple physical mixture, leading to enhanced charge transfer and improved reaction kinetics resulting from reduced binding strength of intermediates. Therefore, the resultant NiFe LDH/NiTe exhibits outstanding OER activity in alkaline solution with an overpotential of 228 mV at the current density of 50 mA/cm(2).	[Hu, Liuyong] Wuhan Inst Technol, Sch Mat Sci & Engn, Wuhan 430205, Peoples R China; [Zeng, Xiong; Wei, Xiaoqian; Wang, Hengjia; Wu, Yu; Gu, Wenling; Zhu, Chengzhou] Cent China Normal Univ, Coll Chem, Int Joint Res Ctr Intelligent Biosensing Technol, Minist Educ,Key Lab Pesticide & Chem Biol, Wuhan 430079, Peoples R China; [Shi, Le] Xi An Jiao Tong Univ, Ctr Nanomat Renewable Energy, State Key Lab Elect Insulat & Power Equipment, Sch Elect Engn, Xian 710049, Peoples R China	Gu, WL; Zhu, CZ (reprint author), Cent China Normal Univ, Coll Chem, Int Joint Res Ctr Intelligent Biosensing Technol, Minist Educ,Key Lab Pesticide & Chem Biol, Wuhan 430079, Peoples R China.; Shi, L (reprint author), Xi An Jiao Tong Univ, Ctr Nanomat Renewable Energy, State Key Lab Elect Insulat & Power Equipment, Sch Elect Engn, Xian 710049, Peoples R China.	wlgu@mail.ccnu.edu.cn; le.shi@mail.xjtu.edu.cn; czzhu@mail.ccnu.edu.cn	Zhu, Chengzhou/M-3566-2014; Shi, Le/P-7933-2016	Zhu, Chengzhou/0000-0003-0679-7965; Shi, Le/0000-0003-1468-4549	Wuhan Institute of Technology; Program of Introducing Talents of Discipline to Universities of China (111 Program) [B17019]; Recruitment Program of Global Youth Experts of China	This work was supported by start-up funds from Wuhan Institute of Technology, the Program of Introducing Talents of Discipline to Universities of China (111 Program, B17019) and The Recruitment Program of Global Youth Experts of China.		50	0	0	45	45	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0926-3373	1873-3883		APPL CATAL B-ENVIRON	Appl. Catal. B-Environ.	SEP 15	2020	273								119014	10.1016/j.apcatb.2020.119014			7	Chemistry, Physical; Engineering, Environmental; Engineering, Chemical	Chemistry; Engineering	LT2WU	WOS:000536933200008					2020-06-27	
J	Gao, LF; Zhang, JF; Xie, H; Nie, YF; Zhao, QB; Zhou, ZK				Gao, Lingfeng; Zhang, Jingfu; Xie, Heping; Nie, Yufeng; Zhao, Qingbai; Zhou, Zongkui			Effect of the mobile phone-related background on inhibitory control of problematic mobile phone use: An event-related potentials study	ADDICTIVE BEHAVIORS			English	Article						Problematic mobile phone use; Event-related potentials; Go/NoGo task; Cue-reactivity; Inhibitory control	RESPONSE-INHIBITION; COLLEGE-STUDENTS; SMARTPHONE USE; NEURAL BASIS; DEPRESSION; CONFLICT; ADDICTION; DISORDER; DEFICITS; SMOKERS	The present study aims to provide electrophysiological evidence for deficient inhibitory control in problematic mobile phone use and to investigate whether reduced inhibition is more pronounced during exposure to a mobile phone related background cue. A screen scale of smartphone addiction was completed by 227 college students, and finally an experimental group and a control group consisting of 20 problematic mobile phone users and 19 controls were included in the study. Event-related potentials were recorded during a backgrounded Go/NoGo task performed by those two groups, in which either a frequent Go signal (letter "M") or a rare NoGo signal (letter "W") was superimposed on three different background cues: neutral, mobile phone application-related and mobile phone using-related pictures. Results showed that problematic mobile phone users performed more commission errors than controls following mobile phone application background. Furthermore, problematic mobile phone users displayed a weaker NoGo P3 amplitude than controls on the mobile phone application background. The result might suggest that there is no general impairment of inhibitory control in problematic mobile phone use. The deficient inhibitory control on behavioral and psychophysiological level appeared merely in the mobile phone-related background. Such deficient stimuli-specific inhibitory control appears at the late stage of inhibitory control. Prevention programs should be designed to curtail exposure to the mobile phonerelated stimulus and enhance cognitive control of potential problematic mobile phone users.	[Gao, Lingfeng; Zhang, Jingfu; Xie, Heping; Zhao, Qingbai; Zhou, Zongkui] Minist Educ, Key Lab Adolescent Cyberpsychol & Behav CCNU, Wuhan 430079, Peoples R China; [Gao, Lingfeng; Zhang, Jingfu; Xie, Heping; Nie, Yufeng; Zhao, Qingbai; Zhou, Zongkui] Cent China Normal Univ, Sch Psychol, Wuhan 430079, Peoples R China	Zhou, ZK (reprint author), Cent China Normal Univ, Sch Psychol, Wuhan 430079, Peoples R China.	zhouzk@mail.ccnu.edu.cn			Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities [CCNU18CXTD03]	This work was supported by the Fundamental Research Funds for the Central Universities (Project No. CCNU18CXTD03). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.		66	0	0	2	2	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0306-4603	1873-6327		ADDICT BEHAV	Addict. Behav.	SEP	2020	108								106363	10.1016/j.addbeh.2020.106363			10	Psychology, Clinical; Substance Abuse	Psychology; Substance Abuse	LW4FI	WOS:000539099500010	32434104				2020-06-27	
J	Yang, XJ; Liu, QQ; Lian, SL; Zhou, ZK				Yang, Xiu-Juan; Liu, Qing-Qi; Lian, Shuai-Lei; Zhou, Zong-Kui			Are bored minds more likely to be addicted? The relationship between boredom proneness and problematic mobile phone use	ADDICTIVE BEHAVIORS			English	Article						Boredom proneness; Depression; Problematic mobile phone use; Attentional control	ATTENTIONAL CONTROL; MODERATING ROLE; ACADEMIC-PERFORMANCE; COGNITIVE CONTROL; INDIVIDUAL-DIFFERENCES; SMARTPHONE ADDICTION; LEISURE BOREDOM; MEDIATING ROLE; DEPRESSION; ANXIETY	Background: Boredom proneness has been demonstrated as a salient vulnerability factor for problematic mobile phone use. However, the mediating and moderating mechanisms underlying this relationship are less investigated. In the current study, we constructed an integrative moderated mediation model to test the mediating role of depression and the moderating role of attentional control in the relationship between boredom proneness and problematic mobile phone use. Method: A total of 1099 college students (M-age = 20.04; SD = 1.25) were recruited to fill out the questionnaires measuring boredom proneness, depression, problematic mobile phone use, and attentional control. Results: Depression partially mediated the relationship between boredom proneness and problematic mobile phone use. Attentional control moderated the indirect relationship between boredom proneness and problematic mobile phone use through depression, with the indirect relationship being weaker for college students with higher levels of attentional control. Moreover, attentional control moderated the direct relationship between boredom proneness and problematic mobile phone use, in that this relationship was stronger for college students with higher levels of attentional control. Conclusions: These findings illuminate the pathway through which boredom proneness is linked to problematic mobile phone use (i.e., mediation) and the condition on which the relationship between boredom proneness and problematic mobile phone use depends (i.e., moderation). More importantly, this study revealed the potential "double-edged sword" effect of attentional control. These findings have implications for early intervention and prevention of problematic mobile phone use in college students.	[Yang, Xiu-Juan; Liu, Qing-Qi; Lian, Shuai-Lei; Zhou, Zong-Kui] Cent China Normal Univ, Sch Psychol, Key Lab Adolescent Cyberpsychol & Behav CCNU, Minist Educ, 152 Luoyu Rd, Wuhan 430079, Peoples R China; [Liu, Qing-Qi] Guanghzou Univ, Sch Educ, Guangzhou 510006, Peoples R China; [Lian, Shuai-Lei] Yangtze Univ, Sch Educ, Jingzhou 434023, Peoples R China	Zhou, ZK (reprint author), Cent China Normal Univ, Sch Psychol, Key Lab Adolescent Cyberpsychol & Behav CCNU, Minist Educ, 152 Luoyu Rd, Wuhan 430079, Peoples R China.	yxjccnupsy@126.com; zhouzk@mail.ccnu.edu.cn			Major Program of National Social Science Foundation of ChinaNational Natural Science Foundation of China [11ZD151]; Research Program Funds of the Collaborative Innovation Center of Assessment toward Basic Education Quality at Beijing Normal University [2019-04-003-BZPK01]	This work was supported by Major Program of National Social Science Foundation of China [grant number 11&ZD151] and Research Program Funds of the Collaborative Innovation Center of Assessment toward Basic Education Quality at Beijing Normal University [grant number 2019-04-003-BZPK01]. We would like to express our deep gratitude to Lingfeng Gao for his contribution to our research.		68	0	0	0	0	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0306-4603	1873-6327		ADDICT BEHAV	Addict. Behav.	SEP	2020	108								106426	10.1016/j.addbeh.2020.106426			7	Psychology, Clinical; Substance Abuse	Psychology; Substance Abuse	LW4FI	WOS:000539099500013	32446143				2020-06-27	
J	Xu, TY; Zhu, YM; Duan, J; Xia, YB; Tong, TY; Zhang, LZ; Zhao, DY				Xu, Tianyuan; Zhu, Yangmo; Duan, Jun; Xia, Yabei; Tong, Tianyi; Zhang, Lizhi; Zhao, Dongye			Enhanced photocatalytic degradation of perfluorooctanoic acid using carbon-modified bismuth phosphate composite: Effectiveness, material synergy and roles of carbon	CHEMICAL ENGINEERING JOURNAL			English	Article						PFOA; PFAS; Adsorption; Photodegradation; Bismuth phosphate; Concentrate and destroy	PERFLUOROALKYL SUBSTANCES PFASS; PERFLUORINATED COMPOUNDS; REMOVAL EFFICIENCY; PFOA; ADSORPTION; WATER; MINERALIZATION; OXIDATION; SULFONATE; BIPO4	Per- and polyfluoroalkyl substances (PFAS) such as perfluorooctanoic acid (PFOA) are recalcitrant to conventional wastewater treatment processes. In search for a more effective technology, we prepared a carbon sphere (CS) modified bismuth phosphate composite photocatalyst (BiOHP/CS) through a hydrothermal process. BiOHP/CS was able to adsorb > 99% of PFOA in 2 h (dosage = 1.0 g/L, initial PFOA = 200 mu g/L, pH = 7.0), and subsequently, in situ decompose adsorbed PFOA nearly completely in 4 h of UV irradiation. The PFOA degradation rate was similar to 18 times greater than that by neat BiOHP. Advanced spectroscopic analyses and density functional theory calculations revealed that the carbon modification not only enhances the PFOA adsorption capacity, but also facilitates a side-on adsorption configuration of PFOA on the photoactive sites. While only the head carboxylate group was involved in PFOA adsorption on neat BiOHP, both the CF2/CF3 entities and the head carboxylate group participated in adsorption of PFOA on BiOHP/CS, which facilitates the subsequent photocatalytic cleavage of the C-F bonds. Photoluminescence emission analysis and density of states calculations confirmed the CS-facilitated side-on adsorption mode and CS-enhanced separation of electrons and holes. In addition, the CS modification facilitates activation of PFOA by changing the electron distribution of the C-F bond, and enhances the stability and reusability of BiOHP by preventing photo-corrosion of the composite material. Overall, the findings provide important insights into the roles of carbonaceous modification and adsorption configurations in enhanced photocatalytic destruction of PFOA, which may guide future design and fabrication of environment-friendly adsorptive photocatalysts.	[Xu, Tianyuan; Zhu, Yangmo; Duan, Jun; Zhao, Dongye] Auburn Univ, Dept Civil Engn, Environm Engn Program, Auburn, AL 36849 USA; [Xu, Tianyuan; Xia, Yabei; Tong, Tianyi; Zhang, Lizhi] Cent China Normal Univ, Coll Chem, Inst Environm & Appl Chem, Minist Educ,Key Lab Pesticide & Chem Biol, Wuhan 430079, Peoples R China	Zhao, DY (reprint author), Auburn Univ, Dept Civil Engn, Environm Engn Program, Auburn, AL 36849 USA.	zhaodon@auburn.edu			Strategic Environmental Research and Development Program (SERDP) [ER18-1515]; Auburn University IGP program; China Scholarship CouncilChina Scholarship Council [201806775052]	We gratefully acknowledge the partial financial supports from the Strategic Environmental Research and Development Program (SERDP) (ER18-1515), the Auburn University IGP program, and the China Scholarship Council (201806775052).		45	0	0	9	9	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	1385-8947	1873-3212		CHEM ENG J	Chem. Eng. J.	SEP 1	2020	395								124991	10.1016/j.cej.2020.124991			10	Engineering, Environmental; Engineering, Chemical	Engineering	LT6AH	WOS:000537151100007					2020-06-27	
J	Chen, Q; Min, C; Zhang, W; Wang, G; Ma, XY; Evans, R				Chen, Qiang; Min, Chen; Zhang, Wei; Wang, Ge; Ma, Xiaoyue; Evans, Richard			Unpacking the black box: How to promote citizen engagement through government social media during the COVID-19 crisis	COMPUTERS IN HUMAN BEHAVIOR			English	Article						government social media; citizen engagement; dialogic communication theory; media richness theory; emotional valence; crisis management	DIALOGIC COMMUNICATION; EMERGENCY MANAGEMENT; PUBLIC INFORMATION; TWITTER; FACEBOOK; RESILIENCE; CHALLENGES; PRINCIPLES; STRATEGIES; DISASTERS	During times of public crises, governments must act swiftly to communicate crisis information effectively and efficiently to members of the public; failure to do so will inevitably lead citizens to become fearful, uncertain and anxious in the prevailing conditions. This pioneering study systematically investigates how Chinese central government agencies used social media to promote citizen engagement during the COVID-19 crisis. Using data scraped from 'Healthy China', an official Sina Weibo account of the National Health Commission of China, we examine how citizen engagement relates to a series of theoretically relevant factors, including media richness, dialogic loop, content type and emotional valence. Results show that media richness negatively predicts citizen engagement through government social media, but dialogic loop facilitates engagement. Information relating to the latest news about the crisis and the government's handling of the event positively affects citizen engagement through government social media. Importantly, all relationships were contingent upon the emotional valence of each Weibo post.	[Chen, Qiang; Ma, Xiaoyue] Xi An Jiao Tong Univ, Sch Journalism & New Media, Xian, Peoples R China; [Min, Chen] City Univ Hong Kong, Dept Media & Commun, Hong Kong, Peoples R China; [Min, Chen] Huazhong Univ Sci & Technol, Coll Publ Adm, Wuhan, Peoples R China; [Zhang, Wei] Huazhong Univ Sci & Technol, Tongji Med Coll, Sch Med & Hlth Management, Wuhan, Peoples R China; [Wang, Ge] Cent China Normal Univ, Coll Publ Adm, Wuhan, Peoples R China; [Evans, Richard] Brunel Univ London, Coll Engn Design & Phys Sci, Uxbridge, Middx, England	Zhang, W (reprint author), 13 Hangkong Rd, Wuhan 430030, Hubei, Peoples R China.	weizhanghust@hust.edu.cn		Min, Chen/0000-0001-8770-3398	National Social Science Foundation of China [17CXW026]	This work was supported by National Social Science Foundation of China [grant number 17CXW026].		72	0	0	22	22	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0747-5632	1873-7692		COMPUT HUM BEHAV	Comput. Hum. Behav.	SEP	2020	110								UNSP 106380	10.1016/j.chb.2020.106380			11	Psychology, Multidisciplinary; Psychology, Experimental	Psychology	LU2AG	WOS:000537562000012	32292239	Bronze, Green Published			2020-06-27	
J	Huang, X; Zhou, YY				Huang, Xin; Zhou, Yuanyang			Basic Morita equivalences and isotypies	JOURNAL OF ALGEBRA			English	Article						Finite groups; Blocks; Basic Morita equivalences; Isotypies	BLOCKS	Basic Morita equivalences and isotypies between blocks are due to L. Puig and M. Broue respectively. In this paper, we prove that a basic Morita equivalence between blocks induces an isotypy if and only if the value at an element u of the character of a source of the bimodule inducing the basic Morita equivalence is +/- m(u).., where m(u).. is the multiplicity of the indecomposable direct summand (unique up to isomorphism) with vertex < u(..)> of the restriction to < u(..)> of the source. (C) 2020 Elsevier Inc. All rights reserved.	[Huang, Xin; Zhou, Yuanyang] Cent China Normal Univ, Sch Math & Stat, Wuhan 430079, Peoples R China	Zhou, YY (reprint author), Cent China Normal Univ, Sch Math & Stat, Wuhan 430079, Peoples R China.	xinhuang@mails.ccnu.edu.cn; zhouyuanyang@mail.ccnu.edu.cn		Huang, Xin/0000-0002-8936-1245	NSFCNational Natural Science Foundation of China [11471131, 11625104]	1The second author is supported by NSFC (No. 11471131 and 11625104).		11	0	0	0	0	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0021-8693	1090-266X		J ALGEBRA	J. Algebra	SEP 1	2020	557						211	223		10.1016/j.jalgebra.2020.03.033			13	Mathematics	Mathematics	LK8HK	WOS:000531100700010					2020-06-27	
J	Zhang, LL; Li, QS; Li, SC; Zhang, MJ				Zhang, Leilei; Li, Qishun; Li, Shuchao; Zhang, Minjie			The expected values for the Schultz index, Gutman index, multiplicative degree-Kirchhoff index and additive degree-Kirchhoff index of a random polyphenylene chain	DISCRETE APPLIED MATHEMATICS			English	Article						Random polyphenylene chain; Schultz index; Gutman index; Multiplicative degree-Kirchhoff; Additive degree-Kirchhoff index	MERRIFIELD-SIMMONS INDEX; RESISTANCE-DISTANCE; NORMALIZED LAPLACIAN; HOSOYA INDEX; WIENER INDEX; SUM	This article is devoted to establish the explicit analytical expressions for the expected values of the Schultz index, Gutman index, multiplicative degree-Kirchhoff index and additive degree-Kirchhoff index of a random polyphenylene chain. The average values of these four indices with respect to the set of all polyphenylene chains with n hexagons are obtained. (C) 2019 Elsevier B.V. All rights reserved.	[Zhang, Leilei; Li, Shuchao] Cent China Normal Univ, Fac Math & Stat, Wuhan 430079, Peoples R China; [Li, Qishun] Beijing Jiaotong Univ, Sch Elect Engn, Beijing 100044, Peoples R China; [Zhang, Minjie] Hubei Univ Arts & Sci, Sch Math & Stat, Xiangyang 441053, Peoples R China	Zhang, MJ (reprint author), Hubei Univ Arts & Sci, Sch Math & Stat, Xiangyang 441053, Peoples R China.	mathzhangleilei@gmail.com; lscmath@mail.ccnu.edu.cn; zhangmj1982@qq.com		Li, Shuchao/0000-0002-6856-0827	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [11901179]; open-ended subject Foundation of Hubei University of Arts and Science, PR China [XK2019057]	S.L. acknowledges the financial support from the National Natural Science Foundation of China (Grant Nos. 11671164, 11271149). M.Z. acknowledges the financial support from the National Natural Science Foundation of China (Grant Nos. 11901179) and the open-ended subject Foundation of Hubei University of Arts and Science, PR China (Grant Nos. XK2019057).		33	0	0	0	0	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0166-218X	1872-6771		DISCRETE APPL MATH	Discret Appl. Math.	AUG 15	2020	282						243	256		10.1016/j.dam.2019.11.007			14	Mathematics, Applied	Mathematics	LW4DR	WOS:000539095200022					2020-06-27	
J	Ming, SJ; Pang, L; Chen, Z; Guo, YB; Guo, L; Liu, Q; Liu, P; Dong, YH; Zhang, ST; Li, T				Ming, Shujun; Pang, Lei; Chen, Zhen; Guo, Yanbing; Guo, Lei; Liu, Qian; Liu, Peng; Dong, Yahao; Zhang, Shoute; Li, Tao			Insight into SO2 poisoning over Cu-SAPO-18 used for NH3-SCR	MICROPOROUS AND MESOPOROUS MATERIALS			English	Article						NH3-SCR; SO2 poisoning; Cu-SAPO-18; Sulfate species; Regeneration	SELECTIVE CATALYTIC-REDUCTION; IN-SITU DRIFTS; SCR CATALYSTS; NO OXIDATION; ACTIVE-SITES; CU-SSZ-13; NH3; SULFUR; DEACTIVATION; IMPACT	The impact of SO2 poisoning on Cu-SAPO-18 physicochemical properties and its NH3-SCR reaction mechanism was investigated. After exposing Cu-SAPO-18 to SO2+O-2 for 40 min, the sulfite and sulfate species were detected on Cu-SAPO-18 surface, which caused a small decrease in BET surface area and micropore volume, the increase in NH3 storage and the deactivation of some isolated Cu2+ sites. These could be interpreted by the slight micropore blocking, interaction between sulfates and NH3 forming new NH4+ species and the formation of Cu-sulfate, respectively. Additionally, it was observed that isolated Cu2+ ions in pear-shaped cavity of AEI structure, which are beneficial to good low-temperature deNO(x) activity, were more severely poisoned by SO2 than Cu2+ in the double 6-membered ring (D6R). Accordingly, the NH3-SCR activity below 350 degrees C was restrained by SO2. Moreover, the in-situ DRIFTS results indicate that Cu-SAPO-18 catalyzed NH3-SCR reaction predominantly proceeds through Langmuir-Hinshelwood (L-H) mechanism at low temperature. SO2 poisoning inhibited the adsorption of NO + O-2 and NH3 on Cu2+ sites, thereby decreasing the formation of Cu-NOx and Cu-NH3 intermediates, evidently, the L-H mechanism was suppressed by SO2. Interestingly, the deactivated Cu-SAPO-18 could be regenerated under SCR gas at 550 degrees C and resumed at least most NH3-SCR activity.	[Ming, Shujun; Chen, Zhen; Guo, Lei; Liu, Qian; Liu, Peng; Dong, Yahao; Zhang, Shoute; Li, Tao] Huazhong Univ Sci & Technol, Sch Chem & Chem Engn, Hubei Key Lab Mat Chem & Serv Failure, Key Lab Mat Chem Energy Convers & Storage,Minist, Wuhan 430074, Peoples R China; [Guo, Yanbing] Cent China Normal Univ, Coll Chem, Inst Environm & Appl Chem, Key Lab Pesticide & Chem Biol,Minist Educ, Wuhan 430079, Peoples R China; [Pang, Lei] DongFeng Trucks R&D Ctr, Wuhan 430056, Peoples R China	Li, T (reprint author), Huazhong Univ Sci & Technol, Sch Chem & Chem Engn, Hubei Key Lab Mat Chem & Serv Failure, Key Lab Mat Chem Energy Convers & Storage,Minist, Wuhan 430074, Peoples R China.; Guo, YB (reprint author), Cent China Normal Univ, Coll Chem, Inst Environm & Appl Chem, Key Lab Pesticide & Chem Biol,Minist Educ, Wuhan 430079, Peoples R China.	guoyanbing@mail.ccnu.edu.cn; taoli@hust.edu.cn			National Key Research and Development Plan of China [2016YFC0401001]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [21473064]	The authors acknowledge financial support from the National Key Research and Development Plan of China (Grant No.2016YFC0401001), the National Natural Science Foundation of China (21473064). The authors acknowledge the characterizations offered by the Analytical and Testing Center, Huazhong University of Science and Technology, Wuhan, China.		64	0	0	18	18	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	1387-1811	1873-3093		MICROPOR MESOPOR MAT	Microporous Mesoporous Mat.	AUG 15	2020	303								110294	10.1016/j.micromeso.2020.110294			11	Chemistry, Applied; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary	Chemistry; Science & Technology - Other Topics; Materials Science	LR8HV	WOS:000535938200036					2020-06-27	
