PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ning, JH; Fang, KT; Zhou, YD				Ning, Jian-Hui; Fang, Kai-Tai; Zhou, Yong-Dao			Uniform Design for Experiments with Mixtures	COMMUNICATIONS IN STATISTICS-THEORY AND METHODS			English	Article						NTLBG algorithm; Uniform mixture design; Wrap-around mean square distance	NUMBER-THEORETIC METHODS; DISCREPANCY	The goal of uniform mixture design is to scatter the design points in the experimental region uniformly. The commonly used criteria, such as mean square distance, are based on the Euclidean distance. Based on the Lee distance, a new criterion is proposed in this article. And an algorithm, called NTLBG, is also proposed to refine the randomly generated design for the experimental design with mixtures. Some examples show that the design generated by the NTLBG algorithm has a lower criteria value.	[Ning, Jian-Hui] Ctr China Normal Univ, Dept Math & Stat, Wuhan 430079, Peoples R China; [Fang, Kai-Tai; Zhou, Yong-Dao] BNU HKBU United Int Coll, Div Sci & Technol, Zhuhai, Peoples R China; [Ning, Jian-Hui] Acad Sinica, Inst Stat Sci, Taipei 11529, Taiwan; [Zhou, Yong-Dao] Sichuan Univ, Dept Math, Chengdu 610064, Peoples R China	Ning, JH (reprint author), Ctr China Normal Univ, Dept Math & Stat, Wuhan 430079, Peoples R China.	jhning@mail.ccnu.edu.cn			NSFCNational Natural Science Foundation of China [10926125, 10926046]; Academy of Mathematics and System Sciences, Chinese Academy of ScienceChinese Academy of Sciences	This authors would like to thank the Editor and the referees for their valuable comments. Ning's research was partially supported by NSFC grant 10926125. Fang's research was partially supported by the Research Foundation from Academy of Mathematics and System Sciences, Chinese Academy of Science. Zhou's research was partially supported by NSFC Grant 10926046.		20	8	9	0	8	TAYLOR & FRANCIS INC	PHILADELPHIA	530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	0361-0926	1532-415X		COMMUN STAT-THEOR M	Commun. Stat.-Theory Methods		2011	40	10					1734	1742	PII 935086532	10.1080/03610921003637470			9	Statistics & Probability	Mathematics	738SE	WOS:000288661600002					2020-06-27	
J	Zheng, R; Zhu, Y; Li, S; Duan, CX				Zheng, Rui; Zhu, Yu; Li, Song; Duan, Chuanxi			Infrared diode laser spectroscopy of the Kr-N2O van der Waals complex: the v(1) symmetric stretch region of N2O	MOLECULAR PHYSICS			English	Article						rovibrational spectrum; Kr-N2O; band-origin shift	POTENTIAL-ENERGY SURFACE; QUADRUPOLE HYPERFINE-STRUCTURE; ROVIBRATIONAL SPECTRA; ROTATIONAL SPECTRUM; HE-N2O COMPLEX; AR-N2O; NE-N2O; DIMER; SPECTROMETER; XE-N2O	The rovibrational spectra of four isotopomers of the Kr-N2O van der Waals complex, namely 82 Kr-N2O, 83 Kr-N2O, 84 Kr-N2O and 86 Kr-N2O, were measured in the v(1) vibrational band region of the N2O monomer (similar to 1285 cm(-1)) using a tunable diode laser spectrometer to probe a pulsed supersonic slit jet. Rotational constants for both ground and excited vibrational states of these four isotopomers were accurately determined. The bandorigin of Kr-N2O was observed to shift by +0.1065 cm(-1) from that of the monomer. The band-origin shifts of Rg-N2O (Rg = Ne, Ar, Kr) in the v(1) vibrational band region could also be well explained by the model based on a Buckingham intermolecular potential [W.A. Herrebout, H.-B. Qian, H. Yamaguchi and B.J. Howard, J. Mol. Spectrosc. 189, 235 (1998)]. But the band-origin shift of He-N2O was found to deviate significantly from this model. The possible reason is discussed and the band-origin shift of Xe-N2O predicted.	[Zheng, Rui; Zhu, Yu; Li, Song; Duan, Chuanxi] Huazhong Normal Univ, Coll Phys Sci & Technol, Wuhan 430079, Peoples R China	Duan, CX (reprint author), Huazhong Normal Univ, Coll Phys Sci & Technol, Wuhan 430079, Peoples R China.	cxduan@phy.ccnu.edu.cn	Duan, Chuanxi/B-2378-2014		National Natural Science Foundation of ChinaNational Natural Science Foundation of China [10604019]; CCNU from the colleges' basic research and operation of MOE [CCNU09A02012]	This work has been supported by the National Natural Science Foundation of China (Grant No. 10604019) and self-determined research funds of CCNU from the colleges' basic research and operation of MOE (Grant No. CCNU09A02012).		26	11	11	0	5	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0026-8976			MOL PHYS	Mol. Phys.		2011	109	6					823	830		10.1080/00268976.2011.554330			8	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	736ZA	WOS:000288532600002					2020-06-27	
J	Zhu, YP; Yuan, JJ; Li, YT; Gao, M; Cao, LP; Ding, JY; Wu, AX				Zhu, Yanping; Yuan, Jingjing; Li, Yitao; Gao, Meng; Cao, Liping; Ding, Jiaoyang; Wu, Anxin			One-Pot Synthesis of Oxacalixarene Derivatives with Tunable Cavity Size Using Miscellaneous Linkers	SYNLETT			English	Article						oxacalixarene; one pot; diphenols; nucleophilic aromatic substitution; linkers	HOST MOLECULES; MACROCYCLES; COMPLEXATION; CONFORMATION; CALIXARENES; ASSEMBLIES; SULFUR	Five oxacalixarene derivatives with different linkers including fluorescent units, soft donor atoms, and hydrogen-bond acceptors have been prepared via one-pot approach. Crystal structure reveals that oxacalixarene adopts a classical 1,3-alternate conformation. In contrast, the oxacalixarene adopts a cavity-like conformation. The inner cavity size is up to 13.357 angstrom and guest molecules, such as chloroform, are included in its solid state.	[Zhu, Yanping; Yuan, Jingjing; Li, Yitao; Gao, Meng; Cao, Liping; Ding, Jiaoyang; Wu, Anxin] Cent China Normal Univ, Key Lab Pesticide & Chem Biol, Minist Educ, Wuhan 430079, Peoples R China	Wu, AX (reprint author), Cent China Normal Univ, Key Lab Pesticide & Chem Biol, Minist Educ, Wuhan 430079, Peoples R China.	chwuax@mail.ccnu.edu.cn	Gao, Meng/K-7801-2012; Cao, Liping/K-7115-2012; zhu, yanping/F-2813-2011; mzyp, che/AAJ-2116-2020	Gao, Meng/0000-0001-8071-8079; zhu, yanping/0000-0003-1666-1850; 	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [20872042, 201032001]; Doctor Independent Foundation of Central China Normal University [2009007]	We thank the National Natural Science Foundation of China (Grant 20872042, and 201032001) and the Doctor Independent Foundation of Central China Normal University (No. 2009007). We are also grateful to Xianggao Meng for his help with X-ray diffraction analysis.		60	25	25	1	20	GEORG THIEME VERLAG KG	STUTTGART	RUDIGERSTR 14, D-70469 STUTTGART, GERMANY	0936-5214	1437-2096		SYNLETT	Synlett	JAN	2011		1					52	56		10.1055/s-0030-1259102			5	Chemistry, Organic	Chemistry	697HS	WOS:000285504500006					2020-06-27	
J	Tang, W; Shi, DQ				Tang, Wu; Shi, De-Qing			SYNTHESIS AND HERBICIDAL ACTIVITY OF O,O-DIALKYL(PHENYL)-N-{1-[(6-CHLOROPYRIDIN-3-YL)METHYL]-4-CYANO-1H-1,2,3-TRIAZOL-5-YL}-1-AMINO-1-SUBSTITUTEDBENZYL-PHOSPHONATES	PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS			English	Article						alpha-Amino phosphonate; herbicidal activity; pyridine; triazole	BIOLOGICAL-ACTIVITY; CLICK CHEMISTRY; DERIVATIVES; RING	A series of novel a-amino phosphonate derivatives containing both pyridine and 1,2,3-triazole moieties 4 were synthesized via a multi-step reaction. First, the condensation of 5-amino-1-[(6-chloropyridin-3-yl) methyl]-4-cyano-1H-1,2,3-triazole with various aromatic aldehydes in the presence of magnesium perchlorate afforded imines 3 in moderate yields; second, imines 3 reacted with dialkyl phosphites or triphenyl phosphite to give the title compounds 4 in moderate to good yields. Their structures were elucidated by spectroscopic data (IR, (1)H NMR, (31)P NMR, ESI-MS) and elemental analysis. The preliminary bioassay (in vitro) indicated that some of the title compounds 4 possessed moderate herbicidal activities against dicotyledonous plants (Brassica campestris L) at a concentration of 100 mg/L. However, compounds 4 did not exhibit herbicidal activities against Brassica campestris L at a concentration of 10 mg/L.	[Tang, Wu; Shi, De-Qing] Cent China Normal Univ, Coll Chem, Key Lab Pesticide & Chem Biol, Minist Educ, Wuhan 430079, Hubei, Peoples R China	Shi, DQ (reprint author), Cent China Normal Univ, Coll Chem, Key Lab Pesticide & Chem Biol, Minist Educ, Wuhan 430079, Hubei, Peoples R China.	chshidq@mail.ccnu.edu.cn			Natural Science Foundation of ChinaNational Natural Science Foundation of China [20872046]; Natural Science Foundation of Hubei ProvinceNatural Science Foundation of Hubei Province [2008CDB086]	The authors are grateful to the Natural Science Foundation of China (Grant No. 20872046) and the Natural Science Foundation of Hubei Province (Grant No. 2008CDB086) for the financial support.		24	3	3	0	3	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1042-6507			PHOSPHORUS SULFUR	Phosphorus Sulfur Silicon Relat. Elem.		2011	186	3					496	502		10.1080/10426507.2010.505594			7	Chemistry, Inorganic & Nuclear; Chemistry, Organic	Chemistry	733LV	WOS:000288265100010					2020-06-27	
J	Geng, XY; Li, SC				Geng, Xianya; Li, Shuchao			On the spectral radius of tricyclic graphs with a fixed diameter	LINEAR & MULTILINEAR ALGEBRA			English	Article						tricyclic graph; eigenvalues; spectral radius; diameter	UNICYCLIC GRAPHS; BICYCLIC GRAPHS; N-VERTICES; TREES	A tricyclic graph is a connected graph with n vertices and n + 2 edges. In this article, we determine graphs with the largest spectral radius among the n-vertex tricyclic graphs with given diameter d.	[Geng, Xianya; Li, Shuchao] Cent China Normal Univ, Fac Math & Stat, Wuhan 430079, Peoples R China	Li, SC (reprint author), Cent China Normal Univ, Fac Math & Stat, Wuhan 430079, Peoples R China.	li@mail.ccnu.edu.cn			National Science Foundation of ChinaNational Natural Science Foundation of China [10671081]	The authors would like to express their sincere gratitude to the referee for a very careful reading of this article and for all his/her insightful comments and valuable suggestions, which made a number of improvements on this article. This research is partially supported by National Science Foundation of China (Grant No. 10671081).		28	4	4	0	0	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	0308-1087	1563-5139		LINEAR MULTILINEAR A	Linear Multilinear Algebra		2011	59	1					41	56	PII 921461129	10.1080/03081080903257630			16	Mathematics	Mathematics	719FL	WOS:000287186700004					2020-06-27	
J	Li, SC; Zhang, L				Li, Shuchao; Zhang, Li			Permanental bounds for the signless Laplacian matrix of bipartite graphs and unicyclic graphs	LINEAR & MULTILINEAR ALGEBRA			English	Article						permanent; signless Laplacian; unicyclic graph; girth	NONNEGATIVE MATRICES; TREES	Let G be a graph and let Q(G) be its signless Laplacian matrix. When G is a unicyclic (respectively, bipartite) graph we obtain sharp upper and lower bounds for the permanent of Q(G) in terms of the order of G. Improved bounds are obtained in terms of the given girth of G. In each of these cases, we characterize the extremal graphs.	[Li, Shuchao; Zhang, Li] Cent China Normal Univ, Fac Math & Stat, Wuhan 430079, Peoples R China	Li, SC (reprint author), Cent China Normal Univ, Fac Math & Stat, Wuhan 430079, Peoples R China.	lscmath@mail.ccnu.edu.cn			CCNU from the colleges' basic research and operation of MOE [CCNU09Y01005, CCNU09Y01018]; National Science Foundation of ChinaNational Natural Science Foundation of China [11071096]	The authors would like to express their sincere gratitude to the referees for a very careful reading of this article and for all their insightful comments and valuable suggestions, which led to a number of improvements in this article. The research is partially supported by self-determined research funds of CCNU (CCNU09Y01005, CCNU09Y01018) from the colleges' basic research and operation of MOE, and the National Science Foundation of China (Grant No. 11071096).		28	9	9	0	2	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0308-1087			LINEAR MULTILINEAR A	Linear Multilinear Algebra		2011	59	2					145	158	PII 933645083	10.1080/03081080903261467			14	Mathematics	Mathematics	723FA	WOS:000287490700003					2020-06-27	
J	Jiang, J; Wang, R; Wang, QA				Jiang, J.; Wang, R.; Wang, Q. A.			Network model of deviation from power-law distribution in complex network	EUROPEAN PHYSICAL JOURNAL B			English	Article								Deviation from simple power law is widely observed in complex networks. We introduce a model including possible mechanisms leading to the deviation. In this model, probabilistic addition of nodes and links, as well as rewiring of links are considered. Using master equation, through theoretical calculation and numerical simulation, double power laws with one variable and one constant exponent are obtained.	[Jiang, J.] Hua Zhong Cent China Normal Univ, Inst Particle Phys, Complex Sci Ctr, Wuhan 430079, Peoples R China; [Jiang, J.; Wang, R.; Wang, Q. A.] Inst Super Mat & Mecan Avances, F-72000 Le Mans, France; [Jiang, J.; Wang, Q. A.] Univ Maine, Fac Sci & Tech, LPEC, F-72035 Le Mans, France; [Wang, R.] Huajiao Univ, Coll Informat Sci & Engn, Quanzhou 362021, Peoples R China	Jiang, J (reprint author), Hua Zhong Cent China Normal Univ, Inst Particle Phys, Complex Sci Ctr, Wuhan 430079, Peoples R China.	jiangj2007010209@gmail.com			Chinese Ministry of EducationMinistry of Education, China [2008677010]; region of Pays de la LoireRegion Pays de la Loire [2009-9397]	This work was supported by Chinese Ministry of Education under the Grant number 2008677010. One of the authors (R. Wang) thanks the region of Pays de la Loire for the support under the grant number 2009-9397.		28	4	4	0	6	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	1434-6028	1434-6036		EUR PHYS J B	Eur. Phys. J. B	JAN	2011	79	1					29	33		10.1140/epjb/e2010-10230-x			5	Physics, Condensed Matter	Physics	712LR	WOS:000286668800005					2020-06-27	
J	Su, F; Wu, YL; Yang, YB; Zhuang, C				Su, Fang; Wu, Yue-Liang; Yang, Yi-Bo; Zhuang, Ci			Charmless B -> PP, PV, VV decays based on the six-quark effective Hamiltonian with strong phase effects: I	JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS			English	Article							EXCLUSIVE SEMILEPTONIC DECAYS; TRANSITION FORM-FACTORS; PION WAVE-FUNCTIONS; QCD FACTORIZATION; PERTURBATIVE QCD; MESON DECAYS; CP VIOLATION; K-ASTERISK; POLARIZATION; EXTRACTION	Based on an approximate six-quark operator effective Hamiltonian from perturbative QCD, we present a systematic study of charmless B -> PP, PV, VV decays (P and V denoting pseudoscalar and vector mesons, respectively). The calculation of the relevant hard-scattering kernels is completed; the resulting transition form factors are consistent with the results of QCD sum rule calculation. Important classes of power corrections include 'chirally enhanced' terms, vertex corrections and weak annihilation contributions with a non-trivial strong phase. With these considerations, predictions are presented for the branching ratios and CP asymmetries of B-meson decays into PP, PV and VV final states, and also for the corresponding polarization observables in VV final states. Several decay modes and observables, which are of particular interest phenomenologically, are discussed in detail, including the effect of annihilation amplitude with a strong phase, the pi pi, pi K and pi rho systems, the longitudinal polarization fraction f(L) in rho K* and phi K* systems and so on. It is observed that predictions in our framework generally agree with current experimental data.	[Su, Fang; Wu, Yue-Liang; Yang, Yi-Bo; Zhuang, Ci] Chinese Acad Sci, Inst Theoret Phys, Key Lab Frontiers Theoret Phys, Kavli Inst Theoret Phys China, Beijing 100190, Peoples R China; [Su, Fang] Huazhong Normal Univ, Inst Particle Phys, Wuhan 430079, Hubei, Peoples R China; [Yang, Yi-Bo] Chinese Acad Sci, Grad Sch, Beijing 100039, Peoples R China	Su, F (reprint author), Chinese Acad Sci, Inst Theoret Phys, Key Lab Frontiers Theoret Phys, Kavli Inst Theoret Phys China, Beijing 100190, Peoples R China.	sufang@itp.ac.cn			National Science Foundation of China (NSFC)National Natural Science Foundation of China [10821504, 10975170]; Chinese Academy of ScienceChinese Academy of Sciences; NSFCNational Natural Science Foundation of China [11047165]	This work was supported in part by the National Science Foundation of China (NSFC) under the grant nos 10821504, 10975170 and the Project of Knowledge Innovation Program (PKIP) of Chinese Academy of Science. F Su was also supported in part by the NSFC under the contract No. 11047165.		75	4	4	0	4	IOP PUBLISHING LTD	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	0954-3899	1361-6471		J PHYS G NUCL PARTIC	J. Phys. G-Nucl. Part. Phys.	JAN	2011	38	1							015006	10.1088/0954-3899/38/1/015006			41	Physics, Nuclear; Physics, Particles & Fields	Physics	706MY	WOS:000286223700006					2020-06-27	
J	Steven, TD; Liu, HW				Steven, Dougherty T.; Liu Hongwei			CYCLIC CODES OVER FORMAL POWER SERIES RINGS	ACTA MATHEMATICA SCIENTIA			English	Article						Finite chain rings; cyclic codes; negacyclic codes; gamma-adic codes		In this article, cyclic codes and negacyclic codes over formal power series rings are studied. The structure of cyclic codes over this class of rings is given, and the relationship between these codes and cyclic codes over finite chain rings is obtained. Using an isomorphism between cyclic and negacyclic codes over formal power series rings, the structure of negacyclic codes over the formal power series rings is obtained.	[Steven, Dougherty T.] Univ Scranton, Dept Math, Scranton, PA 18510 USA; [Liu Hongwei] Huazhong Normal Univ, Dept Math, Wuhan 430079, Peoples R China	Liu, HW (reprint author), Univ Scranton, Dept Math, Scranton, PA 18510 USA.	doughertys1@scranton.edu; h_w_liu@yahoo.com.cn			SRF for ROCSScientific Research Foundation for the Returned Overseas Chinese Scholars; SEM; Key Project of Chinese Ministry of EducationMinistry of Education, China [108099]; CCNU [CCNU09Y01003]	Received May 15, 2008; revised June 3, 2009. The second author was supported by SRF for ROCS, SEM, the Key Project of Chinese Ministry of Education (108099), and CCNU Project (CCNU09Y01003)		22	6	6	2	5	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	JAN	2011	31	1					331	343					13	Mathematics	Mathematics	718ZL	WOS:000287165300033					2020-06-27	
J	Deng, QT				Deng Qintao			COMPLETE HYPERSURFACES WITH CONSTANT MEAN CURVATURE AND FINITE INDEX IN HYPERBOLIC SPACES	ACTA MATHEMATICA SCIENTIA			English	Article						k-weighted bi-Ricci curvature; finite index; constant mean curvature	RIEMANNIAN-MANIFOLDS; MINIMAL-SURFACES; STABILITY	In this article, we prove that any complete finite index hypersurface in the hyperbolic space H(4)(-1)(H(5)(-1)) with constant mean curvature H satisfying H(2) > 64/63 (H(2) > 175/148 respectively) must be compact. Specially, we verify that any complete and stable hypersurface in the hyperbolic space H(4)(-1) (resp. H(5)(-1)) with constant mean curvature H satisfying H(2) > 64/63 (resp. H(2) > 175/148) must be compact. It shows that there is no manifold satisfying the conditions of some theorems in [7, 9].	[Deng Qintao] Sun Yat Sen Univ, Dept Math, Guangzhou 510275, Guangdong, Peoples R China; [Deng Qintao] Huazhong Normal Univ, Lab Nonlinear Anal, Wuhan 430079, Peoples R China; [Deng Qintao] Huazhong Normal Univ, Sch Math & Stat, Wuhan 430079, Peoples R China	Deng, QT (reprint author), Sun Yat Sen Univ, Dept Math, Guangzhou 510275, Guangdong, Peoples R China.	dengqint@sysu.edu.cn			NSFCNational Natural Science Foundation of China [10901067, 10801058]; Hubei Key Laboratory of Mathematical Sciences	Received April 23, 2009; revised October 20, 2009. Research was supported by NSFC (10901067) and partially supported by NSFC (10801058) and Hubei Key Laboratory of Mathematical Sciences		18	1	2	0	4	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602			ACTA MATH SCI	Acta Math. Sci.	JAN	2011	31	1					353	360					8	Mathematics	Mathematics	718ZL	WOS:000287165300035					2020-06-27	
